trainee_id,trainee_name,query_attempts,query_success,window_success_count,window_count
idol_producer_035,周锐,html:初评级阶段:周锐 偶像练习生:200:15 | html:主题曲考核阶段:周锐 偶像练习生:200:15 | html:位置测评阶段:周锐 偶像练习生:200:9 | html:排名发布阶段:周锐 偶像练习生:200:22 | html:合作舞台阶段:周锐 偶像练习生:200:16 | html:总决赛阶段:周锐 偶像练习生:200:22,1,6,6
idol_producer_036,姜京佐,html:初评级阶段:姜京佐 偶像练习生:200:11 | html:主题曲考核阶段:姜京佐 偶像练习生:200:15 | html:位置测评阶段:姜京佐 偶像练习生:200:7 | html:排名发布阶段:姜京佐 偶像练习生:200:6 | html:合作舞台阶段:姜京佐 偶像练习生:200:16 | html:总决赛阶段:姜京佐 偶像练习生:200:16,1,6,6
idol_producer_037,姜祎,html:初评级阶段:姜祎 偶像练习生:200:15 | html:主题曲考核阶段:姜祎 偶像练习生:200:15 | html:位置测评阶段:姜祎 偶像练习生:200:15 | html:排名发布阶段:姜祎 偶像练习生:200:15 | html:合作舞台阶段:姜祎 偶像练习生:200:15 | html:总决赛阶段:姜祎 偶像练习生:200:15,1,6,6
idol_producer_038,姜达赫,html:初评级阶段:姜达赫 偶像练习生:200:15 | html:主题曲考核阶段:姜达赫 偶像练习生:200:15 | html:位置测评阶段:姜达赫 偶像练习生:200:11 | html:排名发布阶段:姜达赫 偶像练习生:200:17 | html:合作舞台阶段:姜达赫 偶像练习生:200:21 | html:总决赛阶段:姜达赫 偶像练习生:200:14,1,6,6
idol_producer_039,娄滋博,html:初评级阶段:娄滋博 偶像练习生:200:13 | html:主题曲考核阶段:娄滋博 偶像练习生:200:5 | html:位置测评阶段:娄滋博 偶像练习生:200:10 | html:排名发布阶段:娄滋博 偶像练习生:200:13 | html:合作舞台阶段:娄滋博 偶像练习生:200:16 | html:总决赛阶段:娄滋博 偶像练习生:200:18,1,6,6
idol_producer_040,孙凡杰,html:初评级阶段:孙凡杰 偶像练习生:200:12 | html:主题曲考核阶段:孙凡杰 偶像练习生:200:11 | html:位置测评阶段:孙凡杰 偶像练习生:200:5 | html:排名发布阶段:孙凡杰 偶像练习生:200:10 | html:合作舞台阶段:孙凡杰 偶像练习生:200:27 | html:总决赛阶段:孙凡杰 偶像练习生:200:15,1,6,6
idol_producer_041,孙浩然,html:初评级阶段:孙浩然 偶像练习生:200:8 | html:主题曲考核阶段:孙浩然 偶像练习生:200:15 | html:位置测评阶段:孙浩然 偶像练习生:200:13 | html:排名发布阶段:孙浩然 偶像练习生:200:12 | html:合作舞台阶段:孙浩然 偶像练习生:200:20 | html:总决赛阶段:孙浩然 偶像练习生:200:14,1,6,6
idol_producer_042,宋睡觉,html:初评级阶段:宋睡觉 偶像练习生:200:8 | html:主题曲考核阶段:宋睡觉 偶像练习生:200:11 | html:位置测评阶段:宋睡觉 偶像练习生:200:15 | html:排名发布阶段:宋睡觉 偶像练习生:200:12 | html:合作舞台阶段:宋睡觉 偶像练习生:200:14 | html:总决赛阶段:宋睡觉 偶像练习生:200:11,1,6,6
idol_producer_043,岳岳,html:初评级阶段:岳岳 偶像练习生:200:15 | html:主题曲考核阶段:岳岳 偶像练习生:200:17 | html:位置测评阶段:岳岳 偶像练习生:200:15 | html:排名发布阶段:岳岳 偶像练习生:200:19 | html:合作舞台阶段:岳岳 偶像练习生:200:16 | html:总决赛阶段:岳岳 偶像练习生:200:14,1,6,6
idol_producer_044,左叶,html:初评级阶段:左叶 偶像练习生:200:5 | html:主题曲考核阶段:左叶 偶像练习生:200:11 | html:位置测评阶段:左叶 偶像练习生:200:11 | html:排名发布阶段:左叶 偶像练习生:200:20 | html:合作舞台阶段:左叶 偶像练习生:200:23 | html:总决赛阶段:左叶 偶像练习生:200:25,1,6,6
