trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_032,张腾,4,位置测评与第二次排名阶段,24,38,122,602,884
chuang2021_032,张腾,5,主题考核与第三次排名阶段,23,14,165,611,955
chuang2021_032,张腾,6,决赛阶段,14,5,42,186,275
chuang2021_033,荣耀,1,初评级阶段,24,349,2525,22256,27655
chuang2021_033,荣耀,2,小组竞演与主题曲阶段,24,128,399,3984,4910
chuang2021_033,荣耀,3,首次排名阶段,27,16,103,422,644
chuang2021_033,荣耀,4,位置测评与第二次排名阶段,25,944,1375,5048,8742
chuang2021_033,荣耀,5,主题考核与第三次排名阶段,23,5,37,124,203
chuang2021_033,荣耀,6,决赛阶段,23,0,3,140,146
chuang2021_034,贵尚奇,1,初评级阶段,25,256,2116,20978,25466
chuang2021_034,贵尚奇,2,小组竞演与主题曲阶段,24,275,1725,41380,45105
chuang2021_034,贵尚奇,3,首次排名阶段,25,20,186,520,912
chuang2021_034,贵尚奇,4,位置测评与第二次排名阶段,25,392,1578,94880,98428
chuang2021_034,贵尚奇,5,主题考核与第三次排名阶段,25,232,1817,57480,61346
chuang2021_034,贵尚奇,6,决赛阶段,25,78621,872,6382,86747
chuang2021_035,上原一翔,1,初评级阶段,26,424,2233,21230,26120
chuang2021_035,上原一翔,2,小组竞演与主题曲阶段,25,383,406,1787,2982
chuang2021_035,上原一翔,3,首次排名阶段,21,3,125,638,891
chuang2021_035,上原一翔,4,位置测评与第二次排名阶段,22,36,117,589,859
chuang2021_035,上原一翔,5,主题考核与第三次排名阶段,25,536,722,2486,4466
chuang2021_035,上原一翔,6,决赛阶段,27,1049,1387,13558,17381
chuang2021_036,诺言,1,初评级阶段,20,166,1160,13332,15818
chuang2021_036,诺言,2,小组竞演与主题曲阶段,21,17,141,2179,2478
chuang2021_036,诺言,3,首次排名阶段,22,1192,578,5441,7789
chuang2021_036,诺言,4,位置测评与第二次排名阶段,22,490,733,5457,7413
chuang2021_036,诺言,5,主题考核与第三次排名阶段,23,0,22,138,182
chuang2021_036,诺言,6,决赛阶段,22,29,452,1645,2578
chuang2021_037,罗言,1,初评级阶段,22,249,2062,20786,25159
chuang2021_037,罗言,2,小组竞演与主题曲阶段,24,99,1079,24994,27251
chuang2021_037,罗言,3,首次排名阶段,18,39,154,1097,1444
chuang2021_037,罗言,4,位置测评与第二次排名阶段,19,182,236,1355,2009
chuang2021_037,罗言,5,主题考核与第三次排名阶段,14,2,125,312,564
chuang2021_037,罗言,6,决赛阶段,24,100,230,965,1525
chuang2021_038,佐藤永翔,1,初评级阶段,27,970,1777,18510,23034
chuang2021_038,佐藤永翔,2,小组竞演与主题曲阶段,24,49,440,9628,10557
chuang2021_038,佐藤永翔,3,首次排名阶段,22,9,82,253,426
chuang2021_038,佐藤永翔,4,位置测评与第二次排名阶段,23,28,174,962,1338
chuang2021_038,佐藤永翔,5,主题考核与第三次排名阶段,30,14,120,366,620
chuang2021_038,佐藤永翔,6,决赛阶段,27,85,247,1299,1878
chuang2021_039,叶皓然,1,初评级阶段,20,401,2210,22285,27106
chuang2021_039,叶皓然,2,小组竞演与主题曲阶段,26,7,40,39,126
chuang2021_039,叶皓然,3,首次排名阶段,22,423,627,3163,4840
chuang2021_039,叶皓然,4,位置测评与第二次排名阶段,21,69,588,27397,28642
chuang2021_039,叶皓然,5,主题考核与第三次排名阶段,26,159,618,5730,7125
chuang2021_039,叶皓然,6,决赛阶段,20,1498,1986,12561,18031
chuang2021_040,韩佩泉,1,初评级阶段,22,218,370,3698,4656
chuang2021_040,韩佩泉,2,小组竞演与主题曲阶段,22,1469,589,3995,6642
chuang2021_040,韩佩泉,3,首次排名阶段,22,135,314,2822,3585
chuang2021_040,韩佩泉,4,位置测评与第二次排名阶段,23,34,64,1238,1400
chuang2021_040,韩佩泉,5,主题考核与第三次排名阶段,24,70,125,1668,1988
chuang2021_040,韩佩泉,6,决赛阶段,25,42,46,412,546
chuang2021_041,陆定昊,1,初评级阶段,23,20383,1914,17982,42193
chuang2021_041,陆定昊,2,小组竞演与主题曲阶段,13,1495,668,4995,7826
chuang2021_041,陆定昊,3,首次排名阶段,21,191,356,2406,3309
chuang2021_041,陆定昊,4,位置测评与第二次排名阶段,26,12083,15142,48232,90599
chuang2021_041,陆定昊,5,主题考核与第三次排名阶段,19,135,178,967,1458
chuang2021_041,陆定昊,6,决赛阶段,23,1394,1638,4437,9107
chuang2021_042,邵明明,1,初评级阶段,25,128,256,916,1556
chuang2021_042,邵明明,2,小组竞演与主题曲阶段,28,0,49,69,167
chuang2021_042,邵明明,3,首次排名阶段,22,170,248,7058,7724
chuang2021_042,邵明明,4,位置测评与第二次排名阶段,21,2,1,142,146
chuang2021_042,邵明明,5,主题考核与第三次排名阶段,23,94,182,1906,2364
chuang2021_042,邵明明,6,决赛阶段,25,168703,750,5377,175580
chuang2021_043,李洛尔,1,初评级阶段,22,800,2113,20686,25712
chuang2021_043,李洛尔,2,小组竞演与主题曲阶段,19,587,872,2083,4414
chuang2021_043,李洛尔,3,首次排名阶段,21,440,513,1051,2517
chuang2021_043,李洛尔,4,位置测评与第二次排名阶段,19,2,9,66,86
chuang2021_043,李洛尔,5,主题考核与第三次排名阶段,20,21,67,757,912
chuang2021_043,李洛尔,6,决赛阶段,18,11,106,373,596
chuang2021_044,于洋,1,初评级阶段,21,3064,3467,25123,35121
chuang2021_044,于洋,2,小组竞演与主题曲阶段,23,2995,1609,26922,33135
chuang2021_044,于洋,3,首次排名阶段,17,84,901,15312,17198
chuang2021_044,于洋,4,位置测评与第二次排名阶段,22,1271,1115,3608,7109
chuang2021_044,于洋,5,主题考核与第三次排名阶段,26,241,444,2000,3129
chuang2021_044,于洋,6,决赛阶段,24,2,23,103,151
chuang2021_045,王孝辰,1,初评级阶段,21,246,1984,19551,23765
