trainee_id,trainee_name,show_name,window_label,window_start,window_end,window_keyword,post_id,post_url,created_at,text_clean,reposts_count,comments_count,attitudes_count,hotness_score,rank
chuang2021_042,邵明明,创造营2021,决赛阶段,2021-04-18,2021-04-24,邵明明 创造营2021,4629470194177012,https://m.weibo.cn/detail/4629470194177012,2021-04-24 11:32:00,#创造营2021# 2021年的春天 属于90个男孩 属于海花岛 要说再见了 愿平安喜乐 愿万事胜意 成团与否 都愿男孩们越来越好 阿克朱カ 安迪 奥斯卡 伯远 曹左 陈俊洁 陈瑞丰 大卫 代少冬 都筑雄哉 范臻尔 付思超 甘望星 高卿尘 谷柳霖 贵尚奇 韩佩泉 何屹繁 何懿峻 何圳煜 和马 胡烨韬 黄鲲 蒋敦豪 井汲大翔 井胧 赖耀翔 李家豪 李嘉祥 李洛尔 李沛洋 李泰龙 李泽坤 李政庭 カ丸 利路修 林豆 林墨 林煜修 凌箫 刘聪 刘唐辉 刘严冬季 刘宇 刘彰 卢克 陆定昊 罗言 门胁慎刚 米卡 诺言 钱政宇 庆怜 屈柏宇 任胤蓬 荣耀 上原一翔 邵明明 田ロ馨也 王孝辰 王泽浩 韦语节 魏子越 吴海 吴宇恒 喜内优心 肖カ桓 谢兴阳 徐绍岚 徐圣兹 薛八一 叶皓然 一之濑飞鸟 怿涵 尹浩宇 于洋 俞更寅 隅田隼平 羽生田挙武 原部凌 赞多 曾涵江 张嘉元 张腾 张欣尧 张星特 张璋 郑明鑫 周柯宇 佐藤永翔 （图文均按字母顺序 天知道我有多累🆘 ） 收起 d,5,15,60,95,15
chuang2021_042,邵明明,创造营2021,首次排名阶段,2021-03-14,2021-03-20,邵明明 创造营2021,4616958131310442,https://m.weibo.cn/detail/4616958131310442,2021-03-20 22:54:00,#邵明明没有被淘汰# 他不仅不会被淘汰， 还会一直走下去， 我会和邵明明 @创造营2021-邵明明 一起努力。 ​,2,5,42,54,16
chuang2021_042,邵明明,创造营2021,位置测评与第二次排名阶段,2021-03-21,2021-04-03,邵明明 创造营2021,4622032161735835,https://m.weibo.cn/detail/4622032161735835,2021-04-03 22:56:00,#邵明明 我在这里显得大家更加的优秀# 真的有被温柔击中 邵明明！ 欢迎回家！！ @创造营2021-邵明明 ​,1,0,46,47,17
chuang2021_042,邵明明,创造营2021,首次排名阶段,2021-03-14,2021-03-20,邵明明 创造营2021,4616959456453699,https://m.weibo.cn/detail/4616959456453699,2021-03-20 22:59:00, 邵明明超话 #黑人牙膏白酵素助力创造营邵明明闪耀闯关# 致创造营2021学员邵明明: 创造营2021学员邵明明你好，在创造营还好吗？有没有好好休息，好好的开心？今天不想和你说要努力啊要加油一类的话，这些你都听多了，我只想让你要记得开心呀！ 于密室大逃脱第一季大神版认识你，于名侦探学院第一季熟悉你，于名侦探学院第二季喜欢你，于创造营2021追随你。 只有邵明明能超过邵明明。 是不是多一个人喜欢邵明明，那我那些创始人就能轻松一些。 当我结束了一天的学习，打开手机看到你要去参加创造营的那一刻，我第一反应居然不是担忧，而是，我的男孩好勇敢，他终于走出舒适圈去寻找自己更好的未来了。 于是，迷迷糊糊的我开始学投票，开始学集资，开始学所有我不知道的东西，只为了陪你完成你想做的事情。 邵明明，请你不要担心，勇敢去闯吧！无论多久，请你记得开心就好，你身后的创始人，你的twinkle，永远只是希望你成为自己想成为的人。 邵明明，我们等你回家。 @创造营2021-邵明明 收起 d,1,3,35,42,18
chuang2021_042,邵明明,创造营2021,主题考核与第三次排名阶段,2021-04-04,2021-04-17,邵明明 创造营2021,4626991108588086,https://m.weibo.cn/detail/4626991108588086,2021-04-17 15:21:00,@创造营2021-邵明明 我们宝，工作要认真，干饭也要认真，注意休息，妈就爱看你活蹦乱跳的 早些把名字换回来哟！ ​,0,7,25,39,19
chuang2021_042,邵明明,创造营2021,主题考核与第三次排名阶段,2021-04-04,2021-04-17,邵明明 创造营2021,4627065582389344,https://m.weibo.cn/detail/4627065582389344,2021-04-17 20:17:00,#邵明明了不起的艺能# 漂亮宝贝，欢迎回家 @创造营2021-邵明明 ​,0,4,28,36,20
chuang2021_042,邵明明,创造营2021,决赛阶段,2021-04-18,2021-04-24,邵明明 创造营2021,4629276257688236,https://m.weibo.cn/detail/4629276257688236,2021-04-23 22:42:00," 邵明明超话 💫 #邵明明了不起的艺能# 【邵明明微博涨粉记录】by 葵葵🌻 🌻┄截至2021.04.23 23:20 @创造营2021-邵明明 微博粉丝数为4,772,872，较昨日增长+722 🌻┄晚安 📈数据记录的第90天 ✨喜欢 @创造营2021-邵明明 的第102天✨ ​​​",1,8,19,36,21
chuang2021_042,邵明明,创造营2021,小组竞演与主题曲阶段,2021-02-28,2021-03-13,邵明明 创造营2021,4614394053133704,https://m.weibo.cn/detail/4614394053133704,2021-03-13 21:05:00,#创造营2021# 能不能出个不看某某的功能 周柯宇林墨任胤蓬奥斯卡邵明明爷都不想看见 ​,0,10,12,32,22
chuang2021_042,邵明明,创造营2021,主题考核与第三次排名阶段,2021-04-04,2021-04-17,邵明明 创造营2021,4627026512447176,https://m.weibo.cn/detail/4627026512447176,2021-04-17 17:42:00,救命啊，创造营2021这个节目太神奇了 什么人进这个节目走一圈之后我都能与他和解了 我觉得邵明明聒噪话多看不懂空气，还有些讨人厌的综艺感 结果是个会对刘宇说“你已经够优秀了，真的希望你能多留点时间给自己”的温柔细腻的人 我觉得李嘉祥是个装逼自大的巨婴，但是二创主题曲时发现他的确唱歌很好，舞蹈不错，向赞多道歉的时的他不过也就是个曾经自大过的20岁追梦男孩罢辽 我觉得周柯宇是皇，第一名德不配位，但渐渐被他的脸蛋身材优越到，在异次元里也很通透佛系，占出道也不是不能接受 我觉得张嘉元也不应该站在出道位，但营人第八期，认真游戏但洒脱讲义气满身中二气息的他让我明白了为什么这么多人喜欢张嘉元 奥斯卡也让人心疼，被拿来挡枪被群嘲说全网无活粉，三公排名跳水式下降，努力练习镜头全无，如果不是因为熊熊，不能想象他还要被嘲多久，他说了粉丝的话他会听，但妆发是他喜欢的东西可能不会改，台风也是公认的好，只要不执着rap真的是个很不错的 收起 d,0,2,23,27,23
chuang2021_042,邵明明,创造营2021,初评级阶段,2021-02-17,2021-02-27,邵明明 创造营2021,4609343083775502,https://m.weibo.cn/detail/4609343083775502,2021-02-27 22:34:00, 创造营2021超话 我的妈，我喜欢的弟弟们在一个宿舍啊！！！激动！！梦幻联动 小九高卿尘（泰剧逐月之月2） 刘宇（抖音知道的汉服小哥哥） 邵明明（密室大逃脱大神版、名侦探学院） 三个弟弟加油啊老阿姨只能尽下绵薄之力投票了 ——他泰女孩路过 2 武汉 收起 d,1,4,17,26,24
