trainee_id,trainee_name,episode_no,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
chuang2021_036,诺言,7,22,490,733,5457,7413
chuang2021_036,诺言,9,23,0,22,138,182
chuang2021_036,诺言,10,22,29,452,1645,2578
chuang2021_037,罗言,1,22,249,2062,20786,25159
chuang2021_037,罗言,3,24,99,1079,24994,27251
chuang2021_037,罗言,5,18,39,154,1097,1444
chuang2021_037,罗言,7,19,182,236,1355,2009
chuang2021_037,罗言,9,14,2,125,312,564
chuang2021_037,罗言,10,24,100,230,965,1525
chuang2021_038,佐藤永翔,1,27,970,1777,18510,23034
chuang2021_038,佐藤永翔,3,24,49,440,9628,10557
chuang2021_038,佐藤永翔,5,22,9,82,253,426
chuang2021_038,佐藤永翔,7,23,28,174,962,1338
chuang2021_038,佐藤永翔,9,30,14,120,366,620
chuang2021_038,佐藤永翔,10,27,85,247,1299,1878
chuang2021_039,叶皓然,1,20,401,2210,22285,27106
chuang2021_039,叶皓然,3,26,7,40,39,126
chuang2021_039,叶皓然,5,22,423,627,3163,4840
chuang2021_039,叶皓然,7,21,69,588,27397,28642
chuang2021_039,叶皓然,9,26,159,618,5730,7125
chuang2021_039,叶皓然,10,20,1498,1986,12561,18031
chuang2021_040,韩佩泉,1,22,218,370,3698,4656
chuang2021_040,韩佩泉,3,22,1469,589,3995,6642
chuang2021_040,韩佩泉,5,22,135,314,2822,3585
chuang2021_040,韩佩泉,7,23,34,64,1238,1400
chuang2021_040,韩佩泉,9,24,70,125,1668,1988
chuang2021_040,韩佩泉,10,25,42,46,412,546
chuang2021_041,陆定昊,1,23,20383,1914,17982,42193
chuang2021_041,陆定昊,3,13,1495,668,4995,7826
chuang2021_041,陆定昊,5,21,191,356,2406,3309
chuang2021_041,陆定昊,7,26,12083,15142,48232,90599
chuang2021_041,陆定昊,9,19,135,178,967,1458
chuang2021_041,陆定昊,10,23,1394,1638,4437,9107
chuang2021_042,邵明明,1,25,128,256,916,1556
chuang2021_042,邵明明,3,28,0,49,69,167
chuang2021_042,邵明明,5,22,170,248,7058,7724
chuang2021_042,邵明明,7,21,2,1,142,146
chuang2021_042,邵明明,9,23,94,182,1906,2364
chuang2021_042,邵明明,10,25,168703,750,5377,175580
chuang2021_043,李洛尔,1,22,800,2113,20686,25712
chuang2021_043,李洛尔,3,19,587,872,2083,4414
chuang2021_043,李洛尔,5,21,440,513,1051,2517
chuang2021_043,李洛尔,7,19,2,9,66,86
chuang2021_043,李洛尔,9,20,21,67,757,912
chuang2021_043,李洛尔,10,18,11,106,373,596
chuang2021_044,于洋,1,21,3064,3467,25123,35121
chuang2021_044,于洋,3,23,2995,1609,26922,33135
chuang2021_044,于洋,5,17,84,901,15312,17198
chuang2021_044,于洋,7,22,1271,1115,3608,7109
chuang2021_044,于洋,9,26,241,444,2000,3129
chuang2021_044,于洋,10,24,2,23,103,151
chuang2021_045,王孝辰,1,21,246,1984,19551,23765
chuang2021_045,王孝辰,3,19,14,67,256,404
chuang2021_045,王孝辰,5,25,48,116,362,642
chuang2021_045,王孝辰,7,19,37,183,1997,2400
chuang2021_045,王孝辰,9,25,53,553,4661,5820
chuang2021_045,王孝辰,10,24,32,184,679,1079
chuang2021_046,屈柏宇,1,24,1037,3881,68907,77706
chuang2021_046,屈柏宇,3,27,499,669,4250,6087
chuang2021_046,屈柏宇,5,30,3,25,75,128
chuang2021_046,屈柏宇,7,23,1049,1856,7785,12546
chuang2021_046,屈柏宇,9,19,61,474,5837,6846
chuang2021_046,屈柏宇,10,19,48,56,830,990
chuang2021_047,蒋敦豪,1,25,251,2049,20022,24371
chuang2021_047,蒋敦豪,3,18,12,40,91,183
chuang2021_047,蒋敦豪,5,26,964,1136,2573,5809
