trainee_id,trainee_name,final_rank,是否成团,weibo_post_count,reposts_sum,comments_sum,likes_sum,query_attempts,query_success,window_success_count,window_count
chuang2021_024,羽生田挙武,24,0,125,1018,3753,89228,html:初评级阶段:羽生田挙武 创造营2021:200:18 | html:小组竞演与主题曲阶段:羽生田挙武 创造营2021:200:21 | html:首次排名阶段:羽生田挙武 创造营2021:200:24 | html:位置测评与第二次排名阶段:羽生田挙武 创造营2021:200:27 | html:主题考核与第三次排名阶段:羽生田挙武 创造营2021:200:20 | html:决赛阶段:羽生田挙武 创造营2021:200:20,1,6,6
chuang2021_025,薛八一,25,0,135,428,2442,22907,html:初评级阶段:薛八一 创造营2021:200:21 | html:小组竞演与主题曲阶段:薛八一 创造营2021:200:27 | html:首次排名阶段:薛八一 创造营2021:200:18 | html:位置测评与第二次排名阶段:薛八一 创造营2021:200:25 | html:主题考核与第三次排名阶段:薛八一 创造营2021:200:21 | html:决赛阶段:薛八一 创造营2021:200:23,1,6,6
chuang2021_026,井胧,26,0,157,148,384,1525,html:初评级阶段:井胧 创造营2021:200:22 | html:小组竞演与主题曲阶段:井胧 创造营2021:200:28 | html:首次排名阶段:井胧 创造营2021:200:30 | html:位置测评与第二次排名阶段:井胧 创造营2021:200:28 | html:主题考核与第三次排名阶段:井胧 创造营2021:200:26 | html:决赛阶段:井胧 创造营2021:200:23,1,6,6
chuang2021_027,曾涵江,27,0,150,1122,1829,8862,html:初评级阶段:曾涵江 创造营2021:200:25 | html:小组竞演与主题曲阶段:曾涵江 创造营2021:200:27 | html:首次排名阶段:曾涵江 创造营2021:200:20 | html:位置测评与第二次排名阶段:曾涵江 创造营2021:200:26 | html:主题考核与第三次排名阶段:曾涵江 创造营2021:200:29 | html:决赛阶段:曾涵江 创造营2021:200:23,1,6,6
chuang2021_028,谢兴阳,28,0,135,1317,2690,8791,html:初评级阶段:谢兴阳 创造营2021:200:24 | html:小组竞演与主题曲阶段:谢兴阳 创造营2021:200:26 | html:首次排名阶段:谢兴阳 创造营2021:200:10 | html:位置测评与第二次排名阶段:谢兴阳 创造营2021:200:24 | html:主题考核与第三次排名阶段:谢兴阳 创造营2021:200:26 | html:决赛阶段:谢兴阳 创造营2021:200:25,1,6,6
chuang2021_029,吴海,29,0,137,622,2774,29805,html:初评级阶段:吴海 创造营2021:200:23 | html:小组竞演与主题曲阶段:吴海 创造营2021:200:17 | html:首次排名阶段:吴海 创造营2021:200:27 | html:位置测评与第二次排名阶段:吴海 创造营2021:200:22 | html:主题考核与第三次排名阶段:吴海 创造营2021:200:24 | html:决赛阶段:吴海 创造营2021:200:24,1,6,6
chuang2021_030,何屹繁,30,0,150,20427,2874,25481,html:初评级阶段:何屹繁 创造营2021:200:24 | html:小组竞演与主题曲阶段:何屹繁 创造营2021:200:24 | html:首次排名阶段:何屹繁 创造营2021:200:23 | html:位置测评与第二次排名阶段:何屹繁 创造营2021:200:26 | html:主题考核与第三次排名阶段:何屹繁 创造营2021:200:28 | html:决赛阶段:何屹繁 创造营2021:200:25,1,6,6
chuang2021_031,魏子越,31,0,144,54580,26759,179399,html:初评级阶段:魏子越 创造营2021:200:28 | html:小组竞演与主题曲阶段:魏子越 创造营2021:200:23 | html:首次排名阶段:魏子越 创造营2021:200:24 | html:位置测评与第二次排名阶段:魏子越 创造营2021:200:24 | html:主题考核与第三次排名阶段:魏子越 创造营2021:200:22 | html:决赛阶段:魏子越 创造营2021:200:23,1,6,6
chuang2021_032,张腾,32,0,131,302,2124,17664,html:初评级阶段:张腾 创造营2021:200:26 | html:小组竞演与主题曲阶段:张腾 创造营2021:200:22 | html:首次排名阶段:张腾 创造营2021:200:22 | html:位置测评与第二次排名阶段:张腾 创造营2021:200:24 | html:主题考核与第三次排名阶段:张腾 创造营2021:200:23 | html:决赛阶段:张腾 创造营2021:200:14,1,6,6
chuang2021_033,荣耀,33,0,146,1442,4442,31974,html:初评级阶段:荣耀 创造营2021:200:24 | html:小组竞演与主题曲阶段:荣耀 创造营2021:200:24 | html:首次排名阶段:荣耀 创造营2021:200:27 | html:位置测评与第二次排名阶段:荣耀 创造营2021:200:25 | html:主题考核与第三次排名阶段:荣耀 创造营2021:200:23 | html:决赛阶段:荣耀 创造营2021:200:23,1,6,6
chuang2021_034,贵尚奇,34,0,149,79796,8294,221620,html:初评级阶段:贵尚奇 创造营2021:200:25 | html:小组竞演与主题曲阶段:贵尚奇 创造营2021:200:24 | html:首次排名阶段:贵尚奇 创造营2021:200:25 | html:位置测评与第二次排名阶段:贵尚奇 创造营2021:200:25 | html:主题考核与第三次排名阶段:贵尚奇 创造营2021:200:25 | html:决赛阶段:贵尚奇 创造营2021:200:25,1,6,6
