trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
chuang2021_031,魏子越,2021-04-23,8,137,151,2669
chuang2021_031,魏子越,2021-04-24,15,1261,1482,3909
chuang2021_032,张腾,2021-02-27,26,210,1643,15786
chuang2021_032,张腾,2021-03-13,22,30,84,346
chuang2021_032,张腾,2021-03-20,22,5,68,133
chuang2021_032,张腾,2021-04-03,24,38,122,602
chuang2021_032,张腾,2021-04-17,23,14,165,611
chuang2021_032,张腾,2021-04-24,14,5,42,186
chuang2021_033,荣耀,2021-02-27,24,349,2525,22256
chuang2021_033,荣耀,2021-03-12,3,0,0,8
chuang2021_033,荣耀,2021-03-13,21,128,399,3976
chuang2021_033,荣耀,2021-03-19,6,1,16,70
chuang2021_033,荣耀,2021-03-20,21,15,87,352
chuang2021_033,荣耀,2021-04-03,25,944,1375,5048
chuang2021_033,荣耀,2021-04-17,23,5,37,124
chuang2021_033,荣耀,2021-04-24,23,0,3,140
chuang2021_034,贵尚奇,2021-02-22,3,0,0,2
chuang2021_034,贵尚奇,2021-02-23,1,0,0,0
chuang2021_034,贵尚奇,2021-02-24,6,4,29,143
chuang2021_034,贵尚奇,2021-02-25,5,6,114,1307
chuang2021_034,贵尚奇,2021-02-26,2,3,3,26
chuang2021_034,贵尚奇,2021-02-27,8,243,1970,19500
chuang2021_034,贵尚奇,2021-03-08,6,211,1408,41029
chuang2021_034,贵尚奇,2021-03-09,3,0,3,21
chuang2021_034,贵尚奇,2021-03-10,8,3,7,5
chuang2021_034,贵尚奇,2021-03-11,5,61,307,323
chuang2021_034,贵尚奇,2021-03-12,2,0,0,2
chuang2021_034,贵尚奇,2021-03-17,3,0,4,26
chuang2021_034,贵尚奇,2021-03-18,6,1,9,33
chuang2021_034,贵尚奇,2021-03-19,7,13,120,350
chuang2021_034,贵尚奇,2021-03-20,9,6,53,111
chuang2021_034,贵尚奇,2021-03-28,1,0,1,6
chuang2021_034,贵尚奇,2021-03-29,5,385,1563,94821
chuang2021_034,贵尚奇,2021-03-30,5,2,3,14
chuang2021_034,贵尚奇,2021-03-31,3,1,1,5
chuang2021_034,贵尚奇,2021-04-01,2,0,0,4
chuang2021_034,贵尚奇,2021-04-02,4,0,1,10
chuang2021_034,贵尚奇,2021-04-03,5,4,9,20
chuang2021_034,贵尚奇,2021-04-11,3,1,6,13
chuang2021_034,贵尚奇,2021-04-12,2,1,1,9
chuang2021_034,贵尚奇,2021-04-13,5,48,353,6534
chuang2021_034,贵尚奇,2021-04-14,6,179,1453,50898
chuang2021_034,贵尚奇,2021-04-15,6,1,1,13
