trainee_id,trainee_name,date,post_count,reposts_sum,comments_sum,likes_sum
idol_producer_031,叶泓希,2018-02-02,3,371,205,177
idol_producer_031,叶泓希,2018-02-10,1,301,197,28
idol_producer_031,叶泓希,2018-02-12,1,51,117,1019
idol_producer_031,叶泓希,2018-02-16,1,220,1591,1046
idol_producer_031,叶泓希,2018-02-17,3,384,425,565
idol_producer_031,叶泓希,2018-02-27,1,0,3,11
idol_producer_031,叶泓希,2018-03-01,1,0,0,1
idol_producer_031,叶泓希,2018-03-10,2,416,463,518
idol_producer_031,叶泓希,2018-03-14,1,0,0,0
idol_producer_031,叶泓希,2018-03-15,1,0,0,0
idol_producer_031,叶泓希,2018-03-16,1,0,0,0
idol_producer_031,叶泓希,2018-03-20,1,0,0,1
idol_producer_031,叶泓希,2018-03-23,1,835,234,323
idol_producer_031,叶泓希,2018-04-06,27,0,0,3
idol_producer_032,吕晨瑜,2018-01-26,5,95,104,203
idol_producer_032,吕晨瑜,2018-02-02,1,6,13,54
idol_producer_032,吕晨瑜,2018-02-16,4,291,1962,3202
idol_producer_032,吕晨瑜,2018-02-17,2,272,242,609
idol_producer_032,吕晨瑜,2018-02-20,2,1,31,225
idol_producer_032,吕晨瑜,2018-02-23,2,108,174,328
idol_producer_032,吕晨瑜,2018-03-01,3,292,749,669
idol_producer_032,吕晨瑜,2018-03-02,2,26,101,207
idol_producer_032,吕晨瑜,2018-03-06,1,55,542,593
idol_producer_032,吕晨瑜,2018-03-07,1,72,114,348
idol_producer_032,吕晨瑜,2018-03-08,1,0,0,6
idol_producer_032,吕晨瑜,2018-03-09,1,0,0,0
idol_producer_032,吕晨瑜,2018-03-11,1,0,1,1
idol_producer_032,吕晨瑜,2018-03-13,1,0,0,0
idol_producer_032,吕晨瑜,2018-03-18,2,1,7,12
idol_producer_032,吕晨瑜,2018-04-04,2,0,1,21
idol_producer_032,吕晨瑜,2018-04-06,19,114,76,428
idol_producer_033,周彦辰,2018-02-16,2,110,163,583
idol_producer_033,周彦辰,2018-03-02,16,8,8,214
idol_producer_033,周彦辰,2018-03-23,23,93,196,279
idol_producer_033,周彦辰,2018-04-06,29,0,7,19
idol_producer_034,周腾阳,2018-01-26,2,0,0,0
idol_producer_034,周腾阳,2018-02-16,1,220,1591,1046
idol_producer_034,周腾阳,2018-03-01,2,0,0,0
idol_producer_034,周腾阳,2018-03-04,1,0,0,1
idol_producer_034,周腾阳,2018-03-22,1,27,57,167
idol_producer_034,周腾阳,2018-04-05,1,0,0,1
idol_producer_035,周锐,2018-02-16,4,48,168,565
idol_producer_035,周锐,2018-03-02,22,9,131,240
idol_producer_035,周锐,2018-03-23,16,0,13,36
idol_producer_035,周锐,2018-04-06,22,2,15,93
idol_producer_036,姜京佐,2018-01-26,1,458,1084,2089
idol_producer_036,姜京佐,2018-02-16,7,536,1887,1454
idol_producer_036,姜京佐,2018-02-28,1,0,0,0
idol_producer_036,姜京佐,2018-03-01,4,100,244,464
idol_producer_036,姜京佐,2018-03-02,1,0,0,2
idol_producer_036,姜京佐,2018-03-19,1,1275,362,571
idol_producer_036,姜京佐,2018-03-20,6,0,20,16
idol_producer_036,姜京佐,2018-03-21,5,3,2,26
idol_producer_036,姜京佐,2018-03-22,1,2,2,0
idol_producer_036,姜京佐,2018-03-23,3,0,1,6
idol_producer_036,姜京佐,2018-04-06,6,161,118,200
idol_producer_038,姜达赫,2018-02-16,1,2,32,106
idol_producer_038,姜达赫,2018-03-01,1,3,16,41
idol_producer_038,姜达赫,2018-03-02,6,1258,570,1151
idol_producer_038,姜达赫,2018-03-21,12,5,11,27
idol_producer_038,姜达赫,2018-03-22,7,3,9,53
idol_producer_038,姜达赫,2018-03-23,2,0,1,2
idol_producer_038,姜达赫,2018-03-26,5,4,0,2
idol_producer_038,姜达赫,2018-03-29,1,0,0,1
idol_producer_038,姜达赫,2018-03-30,3,232,593,814
idol_producer_039,娄滋博,2018-01-23,1,0,0,2
idol_producer_039,娄滋博,2018-01-24,2,2,3,28
idol_producer_039,娄滋博,2018-01-31,1,1,1,7
idol_producer_039,娄滋博,2018-02-01,2,81,87,299
idol_producer_039,娄滋博,2018-02-02,2,38,119,64
idol_producer_039,娄滋博,2018-02-16,5,61,287,489
idol_producer_039,娄滋博,2018-03-02,13,3,73,167
idol_producer_039,娄滋博,2018-03-23,16,126,103,324
idol_producer_039,娄滋博,2018-04-06,18,39,42,133
idol_producer_040,孙凡杰,2018-01-26,2,90,103,189
idol_producer_040,孙凡杰,2018-02-02,1,6,9,16
