trainee_id,trainee_name,week_no,window_label,post_count,reposts_sum,comment_sum,like_sum,engagement_sum
idol_producer_025,伽里,5,排名发布阶段,13,29,92,192,405
idol_producer_025,伽里,7,合作舞台阶段,15,6,22,63,113
idol_producer_025,伽里,11,总决赛阶段,16,2,1,2,6
idol_producer_026,何东东,1,初评级阶段,3,0,0,7,7
idol_producer_026,何东东,2,主题曲考核阶段,2,2,5,24,36
idol_producer_026,何东东,3,位置测评阶段,6,96,878,864,2716
idol_producer_026,何东东,5,排名发布阶段,22,8498,2945,9030,23418
idol_producer_026,何东东,7,合作舞台阶段,21,115,1000,2407,4522
idol_producer_026,何东东,11,总决赛阶段,23,65,99,594,857
idol_producer_027,何嘉庚,2,主题曲考核阶段,1,0,3,24,30
idol_producer_027,何嘉庚,3,位置测评阶段,5,578,2620,3497,9315
idol_producer_027,何嘉庚,5,排名发布阶段,1,0,3,11,17
idol_producer_027,何嘉庚,7,合作舞台阶段,2,28,210,454,902
idol_producer_027,何嘉庚,11,总决赛阶段,8,71,178,616,1043
idol_producer_028,余明君,1,初评级阶段,7,93,106,201,506
idol_producer_028,余明君,3,位置测评阶段,11,35,164,494,857
idol_producer_028,余明君,5,排名发布阶段,25,2407,2983,6942,15315
idol_producer_028,余明君,7,合作舞台阶段,25,3717,2496,4206,12915
idol_producer_028,余明君,11,总决赛阶段,15,0,0,11,11
idol_producer_029,侯浩然,1,初评级阶段,4,43,71,1234,1419
idol_producer_029,侯浩然,2,主题曲考核阶段,1,240,0,0,240
idol_producer_029,侯浩然,3,位置测评阶段,8,3226,11241,13345,39053
idol_producer_029,侯浩然,7,合作舞台阶段,3,25,11,155,202
idol_producer_029,侯浩然,11,总决赛阶段,2,33,80,232,425
idol_producer_030,凌崎,1,初评级阶段,10,2,6,23,37
idol_producer_030,凌崎,2,主题曲考核阶段,14,370,205,146,926
idol_producer_030,凌崎,3,位置测评阶段,10,1612,2770,5469,12621
